contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,symbol,timestamp,expiration,total_premium,moneyness,high_premium,high_volume_ratio,potential_block,unusual_activity
CMG250829C00030000,2025-08-08 14:36:29+00:00,30.0,12.5,11.85,13.2,0.0,0.0,1.0,30,1.4375028125,True,REGULAR,USD,call,CMG,2025-08-26 22:29:47.386482,2025-08-29,1250.0,ITM,False,False,False,False
CMG250829C00034000,2025-08-13 18:43:11+00:00,34.0,9.45,7.6,9.4,0.0,0.0,,9,2.669925200195313,True,REGULAR,USD,call,CMG,2025-08-26 22:29:47.386482,2025-08-29,,ITM,False,False,False,False
CMG250829C00035000,2025-08-26 19:57:29+00:00,35.0,7.5,6.45,7.95,-1.4499998,-16.201117,2.0,15,1.90234423828125,True,REGULAR,USD,call,CMG,2025-08-26 22:29:47.386482,2025-08-29,1500.0,ITM,False,False,False,False
CMG250829C00036000,2025-08-26 19:44:44+00:00,36.0,6.5,5.9,6.95,-0.23000002,-3.4175336,2.0,10,1.701173369140625,True,REGULAR,USD,call,CMG,2025-08-26 22:29:47.386482,2025-08-29,1300.0,ITM,False,False,False,False
CMG250829C00037000,2025-08-26 17:34:02+00:00,37.0,5.33,4.5,5.95,-0.44000006,-7.6256514,2.0,3,1.5000025,True,REGULAR,USD,call,CMG,2025-08-26 22:29:47.386482,2025-08-29,1066.0,ITM,False,True,False,True
CMG250829C00038500,2025-08-22 15:39:31+00:00,38.5,4.9,3.8,4.85,0.0,0.0,2.0,3,1.0625046875000002,True,REGULAR,USD,call,CMG,2025-08-26 22:29:47.386482,2025-08-29,980.0000000000001,ITM,False,True,False,True
CMG250829C00039000,2025-08-26 16:41:53+00:00,39.0,3.5,3.2,3.65,-0.9499998,-21.348312,2.0,23,0.74414318359375,True,REGULAR,USD,call,CMG,2025-08-26 22:29:47.386482,2025-08-29,700.0,ITM,False,False,False,False
CMG250829C00040000,2025-08-26 17:15:00+00:00,40.0,2.43,2.5,2.61,-0.3399999,-12.274365,173.0,322,0.5214891601562499,True,REGULAR,USD,call,CMG,2025-08-26 22:29:47.386482,2025-08-29,42039.00000000001,ITM,False,True,True,True
CMG250829C00040500,2025-08-22 19:24:34+00:00,40.5,3.2,2.01,2.19,0.0,0.0,6.0,8,0.5390671093750001,True,REGULAR,USD,call,CMG,2025-08-26 22:29:47.386482,2025-08-29,1920.0000000000002,ITM,False,True,False,True
CMG250829C00041000,2025-08-26 19:17:16+00:00,41.0,1.53,1.49,1.65,-0.35000002,-18.617023,96.0,96,0.40430283203125,True,REGULAR,USD,call,CMG,2025-08-26 22:29:47.386482,2025-08-29,14688.0,ITM,False,True,False,True
