contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,symbol,timestamp,expiration,total_premium,moneyness,high_premium,high_volume_ratio,potential_block,unusual_activity
MSFT250829C00250000,2025-08-25 13:38:04+00:00,250.0,255.79,253.15,256.4,0.0,0.0,3.0,4,3.468751328125,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,76737.0,ITM,True,True,False,True
MSFT250829C00260000,2025-08-22 19:54:50+00:00,260.0,247.5,243.15,245.6,0.0,0.0,2.0,2,2.71094072265625,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,49500.0,ITM,False,True,False,True
MSFT250829C00320000,2025-08-25 17:28:32+00:00,320.0,186.35,183.45,185.05,0.0,0.0,1.0,0,2.50781623046875,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,18635.0,ITM,False,True,False,True
MSFT250829C00350000,2025-08-21 17:07:40+00:00,350.0,155.85,153.25,155.9,0.0,0.0,8.0,11,1.7958994580078125,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,124680.0,ITM,True,True,False,True
MSFT250829C00355000,2025-08-22 19:54:50+00:00,355.0,152.6,148.25,150.5,0.0,0.0,2.0,2,1.509768076171875,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,30520.0,ITM,False,True,False,True
MSFT250829C00360000,2025-08-20 16:31:28+00:00,360.0,145.9,143.2,146.1,0.0,0.0,12.0,0,1.7255873095703125,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,175080.00000000003,ITM,True,True,False,True
MSFT250829C00365000,2025-08-22 18:15:53+00:00,365.0,143.75,138.5,140.0,0.0,0.0,1.0,8,1.8417976660156248,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,14375.0,ITM,False,False,False,False
MSFT250829C00380000,2025-08-22 16:04:23+00:00,380.0,127.34,123.5,126.2,0.0,0.0,4.0,4,1.5810567822265622,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,50936.0,ITM,True,True,False,True
MSFT250829C00385000,2025-08-25 17:21:16+00:00,385.0,121.63,118.5,120.85,0.0,0.0,5.0,11,1.43359658203125,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,60815.0,ITM,True,False,False,True
MSFT250829C00390000,2025-08-22 17:51:44+00:00,390.0,118.29,113.25,116.3,0.0,0.0,6.0,6,1.4228544482421874,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,70974.0,ITM,True,True,False,True
MSFT250829C00395000,2025-08-25 17:21:16+00:00,395.0,111.22,108.3,111.1,0.0,0.0,4.0,4,1.3271518017578123,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,44488.0,ITM,False,True,False,True
MSFT250829C00400000,2025-08-21 19:48:03+00:00,400.0,105.76,103.5,105.7,0.0,0.0,5.0,5,1.2168007910156249,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,52880.00000000001,ITM,True,True,False,True
MSFT250829C00405000,2025-08-19 19:07:31+00:00,405.0,104.24,98.3,100.5,0.0,0.0,2.0,0,1.015629921875,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,20848.0,ITM,False,True,False,True
MSFT250829C00410000,2025-08-15 19:53:57+00:00,410.0,111.1,93.25,95.3,0.0,0.0,4.0,0,1.3452181176757811,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,44440.0,ITM,False,True,False,True
MSFT250829C00415000,2025-08-20 16:17:02+00:00,415.0,89.65,88.3,90.2,0.0,0.0,15.0,0,1.2543982592773437,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,134475.0,ITM,True,True,False,True
MSFT250829C00420000,2025-08-21 13:39:35+00:00,420.0,86.48,83.3,86.4,0.0,0.0,15.0,15,1.08984830078125,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,129720.0,ITM,True,True,False,True
MSFT250829C00425000,2025-08-20 17:30:53+00:00,425.0,81.25,78.25,80.9,0.0,0.0,1.0,1,0.9248054394531251,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,8125.0,ITM,False,True,False,True
MSFT250829C00430000,2025-08-20 16:17:02+00:00,430.0,74.9,73.25,76.35,0.0,0.0,35.0,0,0.95507857421875,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,262150.0,ITM,True,True,False,True
MSFT250829C00435000,2025-08-20 16:17:02+00:00,435.0,70.0,68.3,70.55,0.0,0.0,62.0,2,0.73437765625,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,434000.0,ITM,True,True,False,True
MSFT250829C00440000,2025-08-20 16:36:54+00:00,440.0,65.23,63.3,65.4,0.0,0.0,601.0,0,0.62305064453125,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,3920323.0000000005,ITM,True,True,True,True
MSFT250829C00442500,2025-08-20 19:09:46+00:00,442.5,63.33,60.75,63.9,0.0,0.0,,0,0.8168963623046874,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,,ITM,False,False,False,False
MSFT250829C00445000,2025-08-22 15:54:14+00:00,445.0,63.42,58.3,60.0,0.0,0.0,4.0,4,0.831056376953125,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,25368.0,ITM,False,True,False,True
MSFT250829C00450000,2025-08-27 14:33:22+00:00,450.0,55.05,54.0,55.3,5.049999,10.099998,4.0,15,0.6792024267578126,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,22020.0,ITM,False,False,False,False
MSFT250829C00455000,2025-08-25 19:44:24+00:00,455.0,50.7,49.0,50.1,0.0,0.0,2.0,59,0.5908244042968751,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,10140.0,ITM,False,False,False,False
MSFT250829C00457500,2025-08-25 19:56:43+00:00,457.5,47.9,46.5,47.5,0.0,0.0,1.0,2,0.5459029785156251,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,4790.0,ITM,False,False,False,False
MSFT250829C00460000,2025-08-27 14:31:41+00:00,460.0,44.6,44.5,45.25,-2.920002,-6.144785,4.0,56,0.6235389208984375,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,17840.0,ITM,False,False,False,False
MSFT250829C00462500,2025-08-27 14:24:45+00:00,462.5,41.35,41.95,42.5,-0.8500023,-2.0142233,1.0,5,0.5600629931640625,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,4135.0,ITM,False,False,False,False
MSFT250829C00465000,2025-08-27 14:04:54+00:00,465.0,35.92,39.1,40.75,-0.08000183,-0.2222273,1.0,51,0.5737347314453125,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,3592.0,ITM,False,False,False,False
MSFT250829C00467500,2025-08-26 15:31:57+00:00,467.5,35.35,36.6,37.75,0.0,0.0,5.0,9,0.5976602734375001,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,17675.0,ITM,False,True,False,True
MSFT250829C00470000,2025-08-27 14:23:33+00:00,470.0,33.65,34.4,34.95,4.550001,15.635743,2.0,28,0.51758294921875,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,6730.0,ITM,False,False,False,False
MSFT250829C00475000,2025-08-27 14:21:33+00:00,475.0,29.89,29.55,30.9,1.6099987,5.6930647,10.0,38,0.5778850805664062,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,29889.999999999996,ITM,False,False,False,False
MSFT250829C00477500,2025-08-27 14:37:15+00:00,477.5,26.65,26.4,28.25,2.6999989,11.273481,2.0,5,0.5258836474609375,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,5330.0,ITM,False,False,False,False
MSFT250829C00480000,2025-08-27 14:59:06+00:00,480.0,24.25,24.55,24.95,0.9300003,3.9879944,7.0,321,0.39380489013671877,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,16975.0,ITM,False,False,False,False
MSFT250829C00482500,2025-08-26 17:49:44+00:00,482.5,18.0,21.85,22.5,0.0,0.0,3.0,33,0.36890279541015625,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,5400.0,ITM,False,False,False,False
MSFT250829C00485000,2025-08-27 14:56:32+00:00,485.0,19.45,19.65,20.05,2.4500008,14.411769,23.0,207,0.34278000976562495,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,44735.0,ITM,False,False,False,False
MSFT250829C00487500,2025-08-27 15:12:43+00:00,487.5,16.75,17.3,17.6,3.3599997,25.09335,16.0,90,0.3150703259277343,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,26800.0,ITM,False,False,False,False
MSFT250829C00490000,2025-08-27 14:51:21+00:00,490.0,14.76,14.8,15.2,1.3400002,9.985098,178.0,442,0.2910227148437499,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,262728.0,ITM,True,False,True,True
MSFT250829C00492500,2025-08-27 15:08:51+00:00,492.5,11.9,11.65,12.8,1.75,17.24138,79.0,169,0.26416751464843746,True,REGULAR,USD,call,MSFT,2025-08-27 11:51:40.176534,2025-08-29,94010.0,ITM,True,False,False,True
