contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,symbol,timestamp,expiration,total_premium,moneyness,high_premium,high_volume_ratio,potential_block,unusual_activity
OPEN250829C00000500,2025-08-26 16:39:24+00:00,0.5,4.2,4.15,4.25,-0.8500004,-16.83169,57,122,0.500005,True,REGULAR,USD,call,OPEN,2025-08-26 23:05:25.649094,2025-08-29,23940.0,ITM,False,False,False,False
OPEN250829C00001000,2025-08-26 19:27:16+00:00,1.0,3.6,3.65,3.75,-0.1500001,-4.0000024,151,2531,0.500005,True,REGULAR,USD,call,OPEN,2025-08-26 23:05:25.649094,2025-08-29,54360.0,ITM,True,False,True,True
OPEN250829C00001500,2025-08-26 19:15:50+00:00,1.5,3.06,2.96,3.25,0.0,0.0,107,1486,8.1875048828125,True,REGULAR,USD,call,OPEN,2025-08-26 23:05:25.649094,2025-08-29,32742.0,ITM,False,False,True,True
OPEN250829C00002000,2025-08-26 19:54:30+00:00,2.0,2.64,2.66,2.8,0.19000006,7.755104,307,7821,5.62500296875,True,REGULAR,USD,call,OPEN,2025-08-26 23:05:25.649094,2025-08-29,81048.0,ITM,True,False,True,True
OPEN250829C00002500,2025-08-26 19:58:21+00:00,2.5,2.2,2.17,2.23,0.1500001,7.317078,2396,10993,0.500005,True,REGULAR,USD,call,OPEN,2025-08-26 23:05:25.649094,2025-08-29,527120.0000000001,ITM,True,False,True,True
OPEN250829C00003000,2025-08-26 19:59:58+00:00,3.0,1.71,1.67,1.71,0.13999999,8.917196,6132,8781,2.6250034375,True,REGULAR,USD,call,OPEN,2025-08-26 23:05:25.649094,2025-08-29,1048571.9999999999,ITM,True,True,True,True
OPEN250829C00003500,2025-08-26 19:58:24+00:00,3.5,1.25,1.2,1.27,0.14999998,13.636362,3579,29227,2.3750040624999995,True,REGULAR,USD,call,OPEN,2025-08-26 23:05:25.649094,2025-08-29,447375.0,ITM,True,False,True,True
OPEN250829C00004000,2025-08-26 19:59:21+00:00,4.0,0.83,0.8,0.85,0.06999999,9.2105255,11796,24509,2.4062539843749997,True,REGULAR,USD,call,OPEN,2025-08-26 23:05:25.649094,2025-08-29,979068.0,ITM,True,False,True,True
OPEN250829C00004500,2025-08-26 19:59:57+00:00,4.5,0.52,0.52,0.53,-0.02000004,-3.703711,34430,15203,2.5156287109374995,True,REGULAR,USD,call,OPEN,2025-08-26 23:05:25.649094,2025-08-29,1790360.0000000002,ITM,True,True,True,True
OPEN250829C00005000,2025-08-26 19:59:52+00:00,5.0,0.34,0.33,0.34,-0.02000001,-5.555558,122879,81245,2.68750328125,False,REGULAR,USD,call,OPEN,2025-08-26 23:05:25.649094,2025-08-29,4177886.0,OTM,True,True,True,True
